city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Adelaide,Adelaide,-34.9275,138.6,Australia,AU,AUS,South Australia,admin,1295714,1036538171
Mount Gambier,Mount Gambier,-37.8294,140.7828,Australia,AU,AUS,South Australia,,25591,1036932780
Whyalla,Whyalla,-33.0333,137.5667,Australia,AU,AUS,South Australia,,21501,1036961366
Murray Bridge,Murray Bridge,-35.117,139.267,Australia,AU,AUS,South Australia,,15043,1036345943
Port Lincoln,Port Lincoln,-34.7322,135.8586,Australia,AU,AUS,South Australia,,14120,1036558150
Mount Barker,Mount Barker,-35.0667,138.85,Australia,AU,AUS,South Australia,,13842,1036530325
Port Augusta,Port Augusta,-32.4925,137.7658,Australia,AU,AUS,South Australia,,6562,1036945368
Berri,Berri,-34.2833,140.6,Australia,AU,AUS,South Australia,,4088,1036554717
Victor Harbor,Victor Harbor,-35.55,138.6167,Australia,AU,AUS,South Australia,,4233,1036536547
Clare,Clare,-33.8333,138.6,Australia,AU,AUS,South Australia,,3327,1036842122
Wallaroo,Wallaroo,-33.9167,137.6167,Australia,AU,AUS,South Australia,,3481,1036743246
Bordertown,Bordertown,-36.3118,140.7702,Australia,AU,AUS,South Australia,,2953,1036115980
Tumby Bay,Tumby Bay,-34.3667,136.1,Australia,AU,AUS,South Australia,,1631,1036529327
Penola,Penola,-37.3786,140.8362,Australia,AU,AUS,South Australia,,1592,1036121853
Kingston South East,Kingston South East,-36.8167,139.85,Australia,AU,AUS,South Australia,,1393,1036261175
Gawler,Gawler,-34.5981,138.745,Australia,AU,AUS,South Australia,,650,1036309493
Peterborough,Peterborough,-32.9667,138.8333,Australia,AU,AUS,South Australia,,1497,1036104272
Streaky Bay,Streaky Bay,-32.8,134.2167,Australia,AU,AUS,South Australia,,1378,1036134944
Port Pirie,Port Pirie,-33.1858,138.0169,Australia,AU,AUS,South Australia,,195,1036571606
Meningie,Meningie,-35.6883,139.338,Australia,AU,AUS,South Australia,,1118,1036445634
Cowell,Cowell,-33.6833,136.9167,Australia,AU,AUS,South Australia,,990,1036921929
Kimba,Kimba,-33.1333,136.417,Australia,AU,AUS,South Australia,,629,1036035341
Andamooka,Andamooka,-30.447,137.166,Australia,AU,AUS,South Australia,,316,1036260794
Kingoonya,Kingoonya,-30.9,135.3,Australia,AU,AUS,South Australia,,13,1036942792
Ceduna,Ceduna,-32.1167,133.6667,Australia,AU,AUS,South Australia,,3505,1036725988
Woomera,Woomera,-31.1496,136.8,Australia,AU,AUS,South Australia,,450,1036392822
